software_category,software_down,software_name
games,79.5,Need for Speed Rivals 
games,30.4,Rust 
business-productivity,600,Microsoft Word 
business-productivity,3000,Adobe Reader DC 
business-productivity,200,Microsoft Office 2007 
business-productivity,500,Microsoft Excel 
business-productivity,200,Microsoft Office 2019 
business-productivity,100,Free PDF reader 
business-productivity,500,Microsoft PowerPoint 
business-productivity,700,Microsoft Word 2016 
business-productivity,85.1,Office Online 
business-productivity,84.0,Microsoft 365 
business-productivity,100,Free PDF Editor 
business-productivity,66.0,PDF Reader for Windows 10 
business-productivity,200,Microsoft Excel Viewer 
business-productivity,8.0,Excel Online 
business-productivity,1300,Microsoft Office 2013 
business-productivity,100,Microsoft Excel 2016 
business-productivity,1300,Microsoft Word 2010 
business-productivity,200,Adobe Acrobat Pro DC 
business-productivity,300,Microsoft Excel 2010 
business-productivity,200,Microsoft PowerPoint 2016 
business-productivity,400,PDF To Word Converter Free 
business-productivity,7.2,Microsoft Whiteboard 
business-productivity,200,Foxit Reader 
business-productivity,5.0,Microsoft Word 2013 
business-productivity,30.6,WLan Driver 802.11n Rel. 4.80.28.7.zip 
business-productivity,900,Microsoft Office 2010 
business-productivity,300,Free Word to PDF Converter 
business-productivity,90.3,Nitro PDF Reader 
business-productivity,20.6,JPG To PDF Converter  
business-productivity,99.9,Microsoft Outlook 2013 
business-productivity,700,Microsoft PowerPoint 2010 
business-productivity,20.3,Microsoft Project Professional 2016 
business-productivity,100,Adobe Acrobat X Pro Update 
business-productivity,56.3,CutePDF Writer 
business-productivity,87.6,Mozilla Thunderbird 
business-productivity,28.3,Adobe Reader 
business-productivity,70.5,PDF Editor 
business-productivity,12.7,Google Sheets for Chrome 
business-productivity,200,PDFCreator 
business-productivity,6.3,PDF Converter 
business-productivity,88.1,Celtx 
business-productivity,31.8,Google Translate for Chrome 
business-productivity,69.2,Microsoft Outlook 
business-productivity,39.7,Free Print to PDF 
business-productivity,8.5,2017 Microsoft Office Add-in: Microsoft Save as PDF or XPS 
business-productivity,57.5,Total PDF Converter 
business-productivity,100,Apache OpenOffice 
business-productivity,60.3,Adobe Reader Touch for Windows 10 
business-productivity,75.9,PDF to JPG converter 
business-productivity,41.1,Google Gmail Gadget 
business-productivity,49.1,Microsoft Access 
business-productivity,100,Prezi desktop 
business-productivity,800,Microsoft Office 2007 Service Pack 3 
business-productivity,5.5,Google Slides 
business-productivity,25.4,Simple Sticky Notes 
business-productivity,71.6,Microsoft Access 2013 
business-productivity,10.0,Tampermonkey 
business-productivity,8.1,Office 2013 Service Pack 1 
business-productivity,25.8,PdfMerge 
business-productivity,40.3,Microsoft Project 
business-productivity,16.4,Calculator Free for Windows 10 
business-productivity,200,Microsoft Office Professional 2010 
business-productivity,60.7,Free PDF to Excel Converter 
business-productivity,200,PDF-XChange Viewer 
business-productivity,71.3,Microsoft Publisher 2013 
business-productivity,100,Nitro Pro 
business-productivity,29.2,LibreOffice 
business-productivity,6.2,PDF Reader Pro - Document Expert 
business-productivity,7.6,Free XLSX Viewer 
business-productivity,19.0,ZoomIt 
business-productivity,5.5,Free Doc to PDF Converter 
business-productivity,29.8,Free PDF Compressor 
business-productivity,8.8,Free PDF to All Converter 
business-productivity,25.6,Sumatra PDF 
business-productivity,21.0,Adobe Acrobat 
business-productivity,49.0,PDFBinder 
business-productivity,13.8,Rufus 
business-productivity,6.2,PDF Combine 
business-productivity,11.6,EasyMail for Gmail 
business-productivity,58.3,Foxit Advanced PDF Editor 
business-productivity,11.9,KeyNote 
business-productivity,100,Microsoft Office Compatibility Pack 
business-productivity,13.7,Microsoft Project 2013 
business-productivity,7.7,OpenOffice Writer 
business-productivity,33.1,Foxit PhantomPDF 
business-productivity,43.1,WPS Office 2016 Free 
business-productivity,5.1,Trello 
business-productivity,100,Office Home & Student 2016 
business-productivity,25.8,Scan2PDF 
business-productivity,21.0,Desktop Calendar 
business-productivity,26.8,gedit 
business-productivity,42.1,Any PDF to DWG Converter 
business-productivity,9.1,Windows Phone app for desktop 
business-productivity,34.0,Scrap Mechanic 
business-productivity,7.0,HiPER Calc 
business-productivity,7.6,Free POS Software 
business-productivity,6.9,Simple Inventory Manager 
business-productivity,46.5,FreeMind 
business-productivity,46.5,FreeMind 
business-productivity,22.5,GeeMail 
business-productivity,70.7,doPDF 
business-productivity,5.4,Accounting Ledger Software 
business-productivity,7.6,PDFill FREE PDF Tools 
business-productivity,23.0,AbiWord 
business-productivity,5.0,7 Sticky Notes 
business-productivity,5.7,Direct APK Downloader 
business-productivity,1000,Microsoft Office Word Viewer 
business-productivity,31.5,My Lockbox 
business-productivity,14.1,Urdu Word Processor 
business-productivity,6.6,KINGSOFT Office 
business-productivity,15.6,PDF Pro 
business-productivity,41.7,PdfFactory 
business-productivity,7.6,PDF Rider 
business-productivity,28.0,XLS Viewer 
business-productivity,12.8,Free XPS to PDF Converter 
business-productivity,27.5,All File to All File Converter 3000 
business-productivity,23.0,IncrediMail 2 
business-productivity,6.8,Polaris Office 
business-productivity,7.7,Notepad Classic for Windows 10 
business-productivity,12.2,PDF reDirect 
business-productivity,11.3,Microsoft Visio 
business-productivity,7.2,Video Maker - VideoShow 
business-productivity,55.8,PDFill PDF Editor 
business-productivity,30.4,QuickBooks Simple Start 
business-productivity,23.3,myDiary 
business-productivity,26.1,Microsoft OneNote 2013 
business-productivity,8.7,MindMaple Lite 
business-productivity,9.1,PDF Writer for Windows 10 
business-productivity,22.4,ID Card Designer Software 
business-productivity,100,Evernote Sticky Notes 
business-productivity,70.7,Service Pack 1 for Microsoft Office 2010 
business-productivity,15.7,PDF To WORD Converter 
business-productivity,59.6,VMware Workstation Pro 
business-productivity,6.7,Nuance PDF Reader 
business-productivity,13.0,GoToMeeting - Video Conferencing 
business-productivity,11.0,Stickies 
business-productivity,10.2,Soda PDF 
business-productivity,10.4,iMindMap 
business-productivity,9.1,Android x86 
business-productivity,12.9,PDF Compressor 
business-productivity,17.6,PDFelement 7 
business-productivity,8.9,Final Draft 
internet-network,7700,uTorrent 
internet-network,2200,Internet Download Manager 
internet-network,1000,BitTorrent 
internet-network,51.8,Everything 
internet-network,500,Free Download Manager 
internet-network,19.1,uTorrent Web 
internet-network,22.1,qBittorrent 
internet-network,12.3,MobaXterm 
internet-network,100,MegaDownloader 
internet-network,23.3,Free Facebook Video Downloader 
internet-network,10.4,Free Download Manager 
internet-network,20.1,Ava Find 
internet-network,31.5,Net Speed Booster 
internet-network,74.4,uTorrent Beta 
internet-network,300,FrostWire 
internet-network,200,Vuze 
internet-network,200,Vuze 
